,corpus_name,classe,precision,recall,f1-score,support
0,lp,ARG0,0.85,0.89,0.87,120
1,lp,ARG1,0.81,0.82,0.81,151
2,lp,ARG2,0.22,0.19,0.21,21
3,lp,ARG3,0.5,0.2,0.29,5
4,lp,ARG4,1.0,0.25,0.4,4
5,news,ARG0,0.77,0.68,0.73,60
6,news,ARG1,0.74,0.86,0.8,115
7,news,ARG2,0.57,0.39,0.46,31
8,news,ARG3,0.0,0.0,0.0,1
9,news,ARG4,0.0,0.0,0.0,1
10,opisums,ARG0,0.77,0.59,0.67,34
11,opisums,ARG1,0.69,0.84,0.76,43
12,opisums,ARG2,0.29,0.29,0.29,7
13,opisums,ARG3,0.0,0.0,0.0,1
14,sci,ARG0,0.86,1.0,0.92,6
15,sci,ARG1,1.0,0.85,0.92,13
16,sci,ARG2,1.0,1.0,1.0,1
17,sci,ARG3,0.0,0.0,0.0,0
